id,comment_count,favorite_count,score
18469091,1,,1
18469975,1,,1
18470428,1,,1
18470970,1,,1
18470998,1,,1
18472365,1,,1
18472673,1,,1
18472688,1,,1
18475201,1,,1
18475775,1,,1
18476657,1,,1
18479264,1,,1
18479290,1,,1
18480262,1,,1
18481024,1,,1
18481155,1,,1
18484257,1,,1
18484678,1,,1
18000745,1,,2
18049898,1,,2
18259555,1,,2
18289072,1,,2
18304091,1,,2
18371963,1,,2
18383806,1,,2
18394046,1,,2
18396670,1,,2
18407099,1,,2
18416475,1,,2
18417098,1,,2
18421662,1,,2
18426830,1,,2
18429382,1,,2
18430037,1,,2
18433976,1,,2
18434704,1,,2
18435924,1,,2
18436363,1,,2
18440494,1,,2
18443163,1,,2
18444926,1,,2
18445407,1,,2
18448105,1,,2
18449335,1,,2
18449711,1,,2
18450050,1,,2
18450071,1,,2
18450700,1,,2
18450916,1,,2
18457676,1,,2
18460648,1,,2
18467767,1,,2
18469354,1,,2
18474742,1,,2
18475053,1,,2
18475678,1,,2
18475900,1,,2
18479663,1,,2
18479753,1,,2
18480419,1,,2
18480437,1,,2
18484014,1,,2
17947698,1,,3
17990876,1,,3
18044809,1,,3
18192700,1,,3
18213160,1,,3
18276533,1,,3
18410439,1,,3
18411028,1,,3
18412167,1,,3
18413046,1,,3
18415731,1,,3
18418646,1,,3
18424689,1,,3
18427210,1,,3
18433951,1,,3
18439720,1,,3
18441342,1,,3
18449281,1,,3
18454402,1,,3
18454983,1,,3
18455421,1,,3
18458864,1,,3
18460878,1,,3
18460940,1,,3
18462300,1,,3
18462550,1,,3
18465997,1,,3
18468484,1,,3
18471527,1,,3
18473972,1,,3
18478989,1,,3
17877183,1,,4
17949609,1,,4
18411792,1,,4
18420191,1,,4
18421433,1,,4
18421831,1,,4
18424368,1,,4
18432224,1,,4
18443933,1,,4
18447036,1,,4
18457159,1,,4
18459866,1,,4
18460065,1,,4
18461209,1,,4
18468365,1,,4
18469923,1,,4
18474739,1,,4
18107016,1,,5
18201839,1,,5
18401412,1,,5
18406451,1,,5
18435014,1,,5
18444613,1,,5
18445899,1,,5
18446213,1,,5
18451274,1,,5
18455530,1,,5
18463401,1,,5
18471466,1,,5
18471539,1,,5
18479646,1,,5
18149453,1,,6
18287399,1,,6
18413715,1,,6
18416824,1,,6
18417654,1,,6
17928592,1,,7
18207986,1,,7
18412207,1,,7
18414753,1,,7
18438944,1,,7
18455177,1,,7
18473132,1,,7
18450938,1,,8
18456416,1,,8
18466031,1,,8
17957404,1,,9
17995997,1,,9
18213831,1,,9
18466807,1,,9
18132636,1,,10
18054106,1,,11
18423119,1,,12
18398814,1,,16
18447012,1,,16
18449477,1,,21
18121563,1,,26
18465470,1,,27
18471491,1,,36
18465913,1,,-7
18231457,1,,-3
18416973,1,,-3
18434378,1,,-3
18063674,1,,-2
18416966,1,,-2
18421406,1,,-2
18473716,1,,-2
18237609,1,,-1
18298550,1,,-1
18423969,1,,-1
18436331,1,,-1
18437715,1,,-1
18438312,1,,-1
18481151,1,,-1
17894093,2,,0
17895140,2,,0
17915425,2,,0
18053911,2,,0
18081911,2,,0
18086024,2,,0
18115987,2,,0
18191370,2,,0
18195650,2,,0
18240794,2,,0
18281939,2,,0
18319255,2,,0
18339936,2,,0
18373867,2,,0
18374897,2,,0
18375451,2,,0
18385663,2,,0
18390085,2,,0
18394477,2,,0
18404477,2,,0
18404888,2,,0
18406874,2,,0
18407347,2,,0
18409214,2,,0
18410505,2,,0
18411174,2,,0
18413040,2,,0
18414347,2,,0
18414549,2,,0
18414590,2,,0
18416237,2,,0
18417259,2,,0
18418396,2,,0
18418954,2,,0
18419282,2,,0
18419908,2,,0
18421346,2,,0
18422061,2,,0
18422765,2,,0
18423114,2,,0
18423312,2,,0
18423724,2,,0
18424911,2,,0
18424949,2,,0
18425721,2,,0
18426969,2,,0
18427212,2,,0
18427618,2,,0
18429039,2,,0
18429319,2,,0
18431495,2,,0
18433860,2,,0
18435189,2,,0
18435198,2,,0
18437857,2,,0
18441310,2,,0
18442344,2,,0
18442365,2,,0
18442689,2,,0
18442850,2,,0
18442909,2,,0
18443414,2,,0
18444268,2,,0
18444759,2,,0
18445480,2,,0
18445562,2,,0
18445599,2,,0
18447164,2,,0
18447859,2,,0
18448084,2,,0
18448349,2,,0
18448687,2,,0
18450466,2,,0
18452388,2,,0
18453791,2,,0
18453816,2,,0
18454587,2,,0
18454646,2,,0
18454709,2,,0
18455399,2,,0
18455869,2,,0
18456999,2,,0
18457150,2,,0
18459417,2,,0
18459775,2,,0
18460039,2,,0
18460194,2,,0
18460519,2,,0
18461394,2,,0
18462633,2,,0
18462708,2,,0
18462896,2,,0
18462953,2,,0
18465362,2,,0
18465711,2,,0
18465987,2,,0
18466281,2,,0
18466583,2,,0
18468848,2,,0
18469131,2,,0
18469731,2,,0
18470431,2,,0
18471482,2,,0
18472102,2,,0
18472200,2,,0
18472926,2,,0
18473651,2,,0
18475132,2,,0
18475478,2,,0
18475776,2,,0
18475827,2,,0
18476624,2,,0
18477534,2,,0
18477864,2,,0
18477942,2,,0
18478323,2,,0
18478788,2,,0
18479424,2,,0
18479815,2,,0
18480711,2,,0
18480979,2,,0
18481676,2,,0
18482200,2,,0
18482281,2,,0
18482912,2,,0
18482956,2,,0
18483179,2,,0
18483514,2,,0
18483523,2,,0
18483534,2,,0
18484055,2,,0
18484825,2,,0
18069018,2,,1
18153900,2,,1
18189727,2,,1
18253793,2,,1
18281606,2,,1
18320780,2,,1
18329528,2,,1
18371749,2,,1
18392785,2,,1
18394089,2,,1
18405483,2,,1
18407134,2,,1
18411306,2,,1
18411472,2,,1
18415367,2,,1
18417645,2,,1
18418034,2,,1
18420761,2,,1
18421378,2,,1
18421856,2,,1
18422577,2,,1
18423766,2,,1
18424654,2,,1
18425150,2,,1
18426365,2,,1
18426452,2,,1
18426902,2,,1
18427034,2,,1
18427904,2,,1
18428094,2,,1
18428395,2,,1
18428747,2,,1
18428785,2,,1
18429214,2,,1
18429558,2,,1
18431183,2,,1
18432344,2,,1
18433352,2,,1
18434290,2,,1
18434628,2,,1
18435734,2,,1
18435979,2,,1
18436717,2,,1
18438076,2,,1
18438249,2,,1
18439506,2,,1
18439727,2,,1
18440603,2,,1
18442438,2,,1
18444113,2,,1
18444732,2,,1
18445203,2,,1
18445569,2,,1
18446289,2,,1
18447999,2,,1
18449202,2,,1
18450198,2,,1
18450735,2,,1
18450970,2,,1
18451902,2,,1
18452771,2,,1
18452810,2,,1
18452958,2,,1
18453281,2,,1
18453291,2,,1
18453596,2,,1
18454137,2,,1
18454365,2,,1
18454433,2,,1
18454675,2,,1
18454743,2,,1
18455289,2,,1
18456527,2,,1
18457571,2,,1
18458740,2,,1
18461680,2,,1
18462210,2,,1
18464989,2,,1
18465515,2,,1
18465565,2,,1
18467562,2,,1
18468490,2,,1
18469895,2,,1
18471811,2,,1
18472228,2,,1
18472518,2,,1
18472877,2,,1
18473772,2,,1
18474612,2,,1
18476716,2,,1
18478355,2,,1
18478368,2,,1
18480494,2,,1
18480506,2,,1
18482870,2,,1
18483490,2,,1
18483925,2,,1
17858727,2,,2
17992548,2,,2
18007273,2,,2
18060175,2,,2
18074207,2,,2
18185489,2,,2
18213963,2,,2
18228718,2,,2
18245619,2,,2
18260049,2,,2
18289852,2,,2
18299425,2,,2
18346622,2,,2
18359442,2,,2
18381726,2,,2
18397102,2,,2
18405131,2,,2
18412282,2,,2
18412622,2,,2
18413231,2,,2
18414797,2,,2
18417290,2,,2
